Indicator Name,Year,Value,Group
Prevalence of current tobacco use (% of adults),1960,50874.0,Other Health Indicators
Number of maternal deaths,1960,,Mortality
"Specialist surgical workforce (per 100,000 population)",1960,,Demographics
"Hospital beds (per 1,000 people)",1960,55.22217731,Healthcare
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",1960,75.206378,Mortality
"Mortality rate, under-5, female (per 1,000 live births)",1960,70.19,Mortality
"Probability of dying among youth ages 20-24 years (per 1,000)",1960,,Mortality
Number of neonatal deaths,1960,217.397,Mortality
Number of infant deaths,1960,,Mortality
Number of deaths ages 10-14 years,1960,,Mortality
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1960,,Other Health Indicators
Age dependency ratio (% of working-age population),1960,,Demographics
"Survival to age 65, female (% of cohort)",1960,,Longevity
"Life expectancy at birth, female (years)",1960,,Longevity
"Mortality rate, adult, male (per 1,000 male adults)",1960,,Mortality
Tuberculosis treatment success rate (% of new cases),1960,,Other Health Indicators
"Prevalence of wasting, weight for height (% of children under 5)",1960,,Other Health Indicators
"Prevalence of stunting, height for age (% of children under 5)",1960,,Other Health Indicators
"Prevalence of stunting, height for age, male (% of children under 5)",1960,,Other Health Indicators
"Prevalence of overweight, weight for height (% of children under 5)",1960,,Other Health Indicators
"Prevalence of overweight, weight for height, male (% of children under 5)",1960,,Other Health Indicators
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1960,,Mortality
Diabetes prevalence (% of population ages 20 to 79),1960,,Demographics
Pregnant women receiving prenatal care (%),1960,,Other Health Indicators
"Number of surgical procedures (per 100,000 population)",1960,,Demographics
"Prevalence of current tobacco use, females (% of female adults)",1960,,Other Health Indicators
Lifetime risk of maternal death (1 in: rate varies by country),1960,43.3,Mortality
"Incidence of malaria (per 1,000 population at risk)",1960,,Demographics
"Community health workers (per 1,000 people)",1960,,Healthcare
"Immunization, HepB3 (% of one-year-old children)",1960,,Other Health Indicators
Young people (ages 15-24) newly infected with HIV,1960,,Other Health Indicators
Adults (ages 15-49) newly infected with HIV,1960,,Other Health Indicators
Children (0-14) living with HIV,1960,,Other Health Indicators
"Mortality rate, neonatal (per 1,000 live births)",1960,,Mortality
"Mortality rate, under-5, male (per 1,000 live births)",1960,48.6028149,Mortality
Women's share of population ages 15+ living with HIV (%),1960,46.3083204,Demographics
"Probability of dying among children ages 5-9 years (per 1,000)",1960,0.485884637,Mortality
"Cause of death, by injury (% of total)",1960,1.517162382,Mortality
Number of deaths ages 15-19 years,1960,5.043151565,Mortality
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",1960,2.2327015,Other Health Indicators
Rural population growth (annual %),1960,3.830441444,Demographics
"Completeness of birth registration, urban (%)",1960,4.836155188,Other Health Indicators
"Population, male (% of total population)",1960,6.218099957,Demographics
"Age dependency ratio, young (% of working-age population)",1960,9.13694651,Demographics
Population ages 15-64 (% of total population),1960,64.42378403,Demographics
"Population ages 15-64, female (% of female population)",1960,64.84839135,Demographics
Population ages 0-14 (% of total population),1960,29.83357214,Demographics
"Population ages 0-14, female (% of female population)",1960,28.74750265,Demographics
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1960,,Other Health Indicators
Wanted fertility rate (births per woman),1960,,Other Health Indicators
"Life expectancy at birth, male (years)",1960,65.32,Longevity
"Mortality rate, infant (per 1,000 live births)",1960,30.4,Mortality
"Death rate, crude (per 1,000 people)",1960,7.6,Mortality
"Adolescent fertility rate (births per 1,000 women ages 15-19)",1960,4.443,Other Health Indicators
Prevalence of anemia among pregnant women (%),1960,,Other Health Indicators
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),1960,,Other Health Indicators
"Physicians (per 1,000 people)",1960,1.0,Healthcare
"Immunization, measles (% of children ages 12-23 months)",1960,,Other Health Indicators
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",1960,,Demographics
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1960,,Other Health Indicators
"Prevalence of HIV, male (% ages 15-24)",1960,,Other Health Indicators
"People using safely managed drinking water services, urban (% of urban population)",1960,,Demographics
"People using at least basic drinking water services, rural (% of rural population)",1960,,Demographics
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",1960,,Mortality
"Mortality rate, under-5 (per 1,000 live births)",1960,39.7,Mortality
"Probability of dying among adolescents ages 15-19 years (per 1,000)",1960,,Mortality
"Cause of death, by non-communicable diseases (% of total)",1960,,Mortality
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1960,,Mortality
Number of deaths ages 5-9 years,1960,,Mortality
Prevalence of anemia among children (% of children ages 6-59 months),1960,,Other Health Indicators
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",1960,,Other Health Indicators
"Population, total",1961,94055000.0,Demographics
Urban population,1961,60395537.0,Demographics
Rural population,1961,33659463.0,Demographics
"Population, female",1961,48318272.0,Demographics
Sex ratio at birth (male births per female births),1961,1.059,Other Health Indicators
Population growth (annual %),1961,0.896033677,Demographics
"Population, male",1961,45736728.0,Demographics
Age group distribution -male,1961,,Other Health Indicators
"Population ages 00-04, male (% of male population)",1961,0.817477707,Demographics
"Population ages 05-09, male (% of male population)",1961,3.227156388,Demographics
"Population ages 10-14, male (% of male population)",1961,4.496884137,Demographics
"Population ages 15-19, male (% of male population)",1961,4.910278236,Demographics
"Population ages 20-24, male (% of male population)",1961,8.422667997,Demographics
"Population ages 25-29, male (% of male population)",1961,9.294948891,Demographics
"Population ages 30-34, male (% of male population)",1961,64.58183563,Demographics
"Population ages 35-39, male (% of male population)",1961,9.828917195,Demographics
"Population ages 40-44, male (% of male population)",1961,9.431421689,Demographics
"Population ages 45-49, male (% of male population)",1961,30.26844159,Demographics
"Population ages 50-54, male (% of male population)",1961,8.554233299,Demographics
"Population ages 55-59, male (% of male population)",1961,8.992896419,Demographics
"Population ages 60-64, male (% of male population)",1961,0.979377058,Demographics
"Population ages 65-69, male (% of male population)",1961,2355315.0,Demographics
"Population ages 70-74, male (% of male population)",1961,2.464684169,Demographics
"Population ages 75-79, male (% of male population)",1961,3.829131431,Demographics
"Population ages 80 and above, male (% of male population)",1961,7.121830017,Demographics
age distribution female,1961,,Other Health Indicators
"Population ages 00-04, female (% of female population)",1961,8.744571884,Demographics
"Population ages 05-09, female (% of female population)",1961,5.35839668,Demographics
"Population ages 10-14, female (% of female population)",1961,61148030.0,Demographics
"Population ages 15-19, female (% of female population)",1961,1.86099161,Demographics
